Day Label,Category,Module Name,Sub Module,Focus Area,Methodology,Duration (min)
Day 2,Product & Process,IVR,,Interactive Voice Response - how it works,ILT/PPT,10
Day 2,Product & Process,Service Touch Points,,"Website, voice and non-voice, dealer, ARC, nodal officers, Tata Play app, Help menu, USSD, SMS, Self-care through App, DTH customer care numbers",PPT/Live Demo,45
Day 2,Product & Process,DTH Applications,,"Service Portal, Siebel, Velocity (OE), One Click - navigation and usage",Live Application,150
Day 2,Product & Process,Introduction to Recommendations & Scripts,,Explain how to pitch recommendations - Rebuttals Script,PPT/Live Application,30
Day 2,Product & Process,Net Promoter Score (NPS),,Explain NPS and its importance in customer service,PPT/Video,30
Day 2,AV Learning,AV Learning - Digital Channels,,"Get Help Via the Tata Play Thanks app, Add or Remove Channels, Know your Tata Play Digital TV details on WhatsApp, How to change plan via App",Live Demo,15
Day 2,Practice Time,Scripts Practice,,"Discussion based on script pre-read, DIY Script reading by participants in teams, DIR Demonstration on scripts by trainer",ILT/PPT,30
Day 2,Assessment,Day 2 Online Test,,,Assessment,15
Day 2,Break,Break,,,Break,60
Day 3,Recap,Recap for Day 2 Topics,,,Recap,30
Day 3,Product & Process,Customer Life Cycle,,"Complete process of entry to exit of the customer, Milestones in the customer lifecycle",PPT,60
Day 3,Product & Process,Transmission Process,,"How Tata Play DTH works, Technologies and terminologies, Encryption and Compression",PPT,30
Day 3,Product & Process,CPE and Connections,,"Customer premise equipment, Different types of Set top boxes and prices, Connections with all variants, Introduction to All-in-One",PPT/Video/Excel,90
Day 3,Product & Process,STB,,"Set top box types and features, Prices details and offers",PPT,75
Day 3,Product & Process,Installation at Customer Premises,,Installation Video and process walkthrough,PPT/Video,15
Day 3,Product & Process,Remote Control,,"Features of remote, Options in EPG, EPG Navigation, DTH Menu demo, How to check channel list, How to check customer ID and STB Number, How to record programs, How to format and watch recorded movies, How to change channel language, How to check signal strength",PPT/Live Demo,60
Day 3,AV Learning,How to pair remote with Xstream Box,,How to pair remote with your Xstream Box step by step,Live Demo,15
Day 3,Practice Time,Application Practice,,Advisors to navigate SP and practice scenarios covered during the day,Live Demo,30
Day 3,Experiential Learning,Lab Visit,,Hands-on lab visit for practical exposure,,60
Day 3,Assessment,Day 3 Online Test,,,Assessment,15
Day 3,Break,Break,,,Break,60
Day 4,Recap,Recap for Day 3 Topics,,,Recap,30
Day 4,Products & Process,Purchase Options,,"Different purchase options, Online Purchasing, Dealer Information, Installation Done Activation Pending (Error Code B003), Activation Done Installation Pending, Single and Multi connections",Instructor Led/Case Study,75
Day 4,Products & Process,Customer Segmentation,,Categorization of Customer in different Segments,Instructor Led/Case Study,15
Day 4,Products & Process,Authentication Matrix,,Explain the importance of Authentication Matrix,PPT/Live Demo,15
Day 4,Products & Process,Package and Offers,,"NTO, NCF, Airtel Bundle, Broadcaster Bouquet, Ala carte, Introduction to channel list",Instructor Led/PPT,75
Day 4,Process,Quality - QMC Guidelines,,"Importance of CQ, QMC Guidelines - Measurement Criteria - Critical to Ensure, Validation Process, Why Validation, Critical/Non Critical scenario, Session conducted by Quality Team",Call Quality Sheet,60
Day 4,Process,Call Calibration,,Call Calibration on Quality sheet,Call Quality Sheet,30
Day 4,Process,Good and Bad Calls,,Quality team to play good and bad calls on topics covered till date,Verint,30
Day 4,Practice Time,Call Listening,,2 Calls covering the top call drivers of the topic,Verint,30
Day 4,Practice Time,Mock Calls,,Trainer to do at least 3 calls with different advisors,Mock Call Practice,45
Day 4,Practice Time,Y Jack Session,,Y Jack listening session with live calls,,60
Day 4,Assessment,Day 4 Online Test,,,Assessment,15
Day 4,Break,Break,,,Break,60
Day 5,Recap,Recap for Day 4 Topics,,,Recap,30
Day 5,Products & Process,Recharge Modes,,"Online and Offline Methods, Tata Play Payments Bank, IVR, USSD, online recharge, register and auto pay",PPT/SP,30
Day 5,Products & Process,Recharge Confirmation,,"Recharge Confirmation Scenarios with all the recharge modes, Non Tata Play Recharge Mode Confirmation, Quality protocols and TAT communications",PPT/SP,45
Day 5,Products & Process,Recharge Not Reflecting,,Scenarios arising due to recharge not reflecting and resolution steps,PPT/SP,60
Day 5,Products & Process,Recharge on Wrong Account,,How to handle wrong account recharge cases,PPT/SP,45
Day 5,Products & Process,Waiver,,"Scenarios wherein customers wrong package/top-up activation has been done, Rights and protocols, Waiver Limit",PPT/SP/Siebel,30
Day 5,Products & Process,Self Care,,"All options on Web self-care, All Options From Tata Play Thanks App, Practice along with Exception Handling SOP",PPT/SP,75
Day 5,Products & Process,OTT,,How to handle OTT related calls,PPT/SP,30
Day 5,AV Learning,AV Learning - Recharge,,Get Help Via the Tata Play Thanks app - How to check transaction history - Download Payment Receipts - Amazon prime deactivation,Live Demo,15
Day 5,Practice Time,Call Listening,,2 Calls covering the top call drivers of the topic,Verint,45
Day 5,Practice Time,Mock Calls,,Trainer to do at least 3 calls with different advisors,Mock Call Practice,60
Day 5,Assessment,Day 5 Online Test,,,Assessment,15
Day 5,Break,Break,,,Break,60
Day 6,Recap,Recap for Day 5 Topics,,,Recap,30
Day 6,Product & Process,Package Change,,"Step to change the pack, Rules and protocols, Types of Packs and their activation, Package Upgrade (Standard or HD), Package Downgrade (Standard or HD), Advanced rental package activation, Base package calculation - DBR - NRC - ARP calculation, Activation of Ala carte from contact center, All Tata Play Bundle Packs in Service Portal, Future date provisioning (FDP)",PPT/One Click,120
Day 6,Product & Process,Broadcaster Bouquet Ala-Carte and VAS,,"Add and Drop Broadcaster Bouquet and Ala-Carte, Future Dated provisioning, Explain difference between Ala-Carte normal channel and HD channel activation, FDP",PPT/Service Portal/Velocity,120
Day 6,Product & Process,Offers,,How to handle Offer related calls,PPT/Service Portal,30
Day 6,Product & Process,Heavy Refresh,,"Importance of HR, Different Modes of using HR, All the Scenarios where HR is required, Quality protocols and TAT communications",PPT/Live Demo,15
Day 6,AV Learning,AV Learning - Channels,,"How to add channels via TV for Tata Play Xstream users, How to add or remove channels, How to change plan",Live Demo,15
Day 6,Practice Time,Call Listening,,2 Calls covering the top call drivers of the topic,Verint,45
Day 6,Practice Time,Mock Calls,,Trainer to do at least 3 calls with different advisors,Mock Call Practice,75
Day 6,Assessment,L1 Online Test (Day 2 to Day 6),,,Assessment,30
Day 6,Break,Break,,,Break,60
Day 7,Recap,Recap for Day 6 Topics,,,Recap,30
Day 7,Product & Process,Relocation Process,,"Types of Relocation, SR for Relocation, Address change utility",PPT,120
Day 7,Product & Process,No LOS / Dead On Arrival,,"Resolution to No Line of Sight issues, Dead on arrival replacements",PPT,15
Day 7,Product & Process,Engineer Complaint,,"Scenarios related to Engineer not visited and complaint resolved, SR and escalation process, WFMS Slots Booking, WFMS Pin Code Details, New SR Process of Preferred time capture",PPT,30
Day 7,Product & Process,Field Escalation Process,,"Field Escalation Matrix, SR pending beyond TAT",PPT/iPortal,20
Day 7,Product & Process,Customer Account Management,,"Contact Details updates, RTN change",PPT/SP,30
Day 7,Product & Process,Splitting and Merging,,Explain the concept of Splitting and Merging customer accounts,PPT/SP,30
Day 7,Product & Process,Parental Lock Reset,,"Error Codes, Methods of Parental Lock, Reset Methods",PPT/SP,25
Day 7,Product & Process,Interactive Services,,Discuss iTV Services and interactive features,PPT/Live Demo,20
Day 7,Product & Process,STB Upgrade,,STB upgrade and Its pricing,PPT/Service Portal,30
Day 7,AV Learning,AV Learning - Mobile Number,,Know how to change the Registered mobile number for DTH account,Live Demo,5
Day 7,Practice Time,Call Listening,,2 Calls covering the top call drivers of the topic,Verint,30
Day 7,Practice Time,Mock Calls,,Trainer to do at least 3 calls with different advisors,Mock Call Practice,80
Day 7,Assessment,Day 7 Online Test,,,Assessment,15
Day 7,Break,Break,,,Break,60
Day 8,Recap,Recap for Day 7 Topics,,,Recap,30
Day 8,Product & Services,Charging Methodology,Customer Account and Charges,"Billing understanding / DBR, What is Daily Burn Rate, Package price - one time deduction, Calculation methods of DBR, DBR deductions calculations in Top-ups and PPV, Common Complaints",PPT/Siebel/One Click,120
Day 8,Product & Services,Clarification on Charges Levied,Customer Account and Charges,"Sudden depletion of account balance, Information on Balance, Complaints",PPT/Siebel/One Click,120
Day 8,Practice Session,Safe Custody,Safe Custody Process,"Explain safe custody process, How to activate and deactivate",PPT,60
Day 8,Practice Time,Call Listening,,2 Calls covering the top call drivers of the topic,Verint,30
Day 8,Practice Time,Mock Calls,,Trainer to do at least 3 calls with different advisors,Mock Call Practice,45
Day 8,Practice Time,Y Jack Session,,Y Jack listening session with live calls,,60
Day 8,Assessment,Day 8 Online Test,,,Assessment,15
Day 8,Break,Break,,,Break,60
Day 9,Recap,Recap for Day 8 Topics,,,Recap,30
Day 9,Products & Services,Xstream Box,,Explain Xstream box features and functionality,PPT/SP/Videos,120
Day 9,Products & Services,Churn Retention Suspension Refund Recovery,,"Suspension - Churn and Retention Processes, Bucket wise offers - Tagging and Protocols, Security Deposit Refund, STB Recovery Box Journey and Green Campaign Customer Journey",PPT/SP,120
Day 9,Products & Services,Tagging - QRC,,"Complete tagging codes, How to raise SR, How to check previous SR status and SR TAT time, What is a Query/Request/Complaint, Call Wrap and SR bifurcations",PPT,15
Day 9,Products & Services,Live TV - Tata Play TV Go,,Explain the features of Tata Play TV Go,PPT/Live Demo,30
Day 9,Case Studies,Recommendation Journey,Financial and Telecom Recommendations,"Financial Recommendation: Axis Bank Credit Card, Telecommunications: Tata Play Black/Family Plan/Prepaid to Postpaid, Tata Play Bajaj Insta Card",PPT/SP,60
Day 9,AV Learning,AV Learning - Live TV,,Watch TV on the Go with My DTH on Tata Play Xstream Play app,Live Demo,10
Day 9,Practice Time,Call Listening,,2 Calls covering the top call drivers of the topic,Verint,20
Day 9,Practice Time,Mock Calls,,Trainer to do at least 3 calls with different advisors,Mock Call Practice,60
Day 9,Assessment,Day 9 Online Test,,,Assessment,15
Day 9,Break,Break,,,Break,60
Day 10,Recap,Recap for Day 9 Topics,,,Recap,30
Day 10,Products & Services,SRD and L2,,Explain L2 and SRD process - escalation flow,PPT/SP,45
Day 10,Products & Services,Top Call Drivers,,What is TCD - Major Top call drivers and inside view,PPT,15
Day 10,Products & Services,Retailer Help Desk,,Overview of Retailer Helpline,PPT,15
Day 10,Products & Services,SR Workflow and TPR Taggings,,SR Workflow and TPR taggings process,PPT,30
Day 10,Products & Services,Troubleshooting Overview,,"Top Error Codes and Troubleshooting steps and SRs, Trainer to ensure practice on the scenario",PPT/One Click,30
Day 10,Products & Services,Error Code Troubleshooting,No Signal B001 and Error code 4 and 6,Trouble Shooting Scenarios on Error Code B001 - 4 and 6,PPT/SP/Live Practice/One Click,60
Day 10,AV Learning,AV Learning - Error Codes,,"How to fix TV Code B001, How to fix TV Code 6",Live Demo,15
Day 10,Practice Time,Call Listening,,2 Calls covering the top call drivers of the topic,Verint,30
Day 10,Practice Time,Mock Calls,,Trainer to do at least 3 calls with different advisors,Mock Call Practice,60
Day 10,Practice Time,Y Jack Session,,Y Jack listening session with live calls,,60
Day 10,Assessment,L2 Online Test (Day 6 to Day 10),,,Assessment,30
Day 10,Experiential Learning,Lab Visit,,Hands-on lab visit for practical exposure,,60
Day 10,Break,Break,,,Break,60
Day 11,Recap,Recap for Day 10 Topics,,,Recap,30
Day 11,Product & Process,Troubleshooting Technical Scenarios,,Trainer to ensure to cover all technical scenarios - error code 203 - blue black screen - sound issue etc,PPT/Live Practice/One Click,120
Day 11,Product & Process,Xstream Box Errors,,Explain how to handle Xstream box errors,PPT/SP,60
Day 11,Product & Process,Remote Issue,,Discuss remote related issues and resolution,PPT/Live Practice/One Click,45
Day 11,Product & Process,STB Issues,,"STB Hang mode, STB LED not glowing or unable to switch on STB, Adapter issue, Loading message on the screen, No Audio",PPT/Live Practice/One Click,60
Day 11,Practice Time,Call Listening,,2 Calls covering the top call drivers of the topic,Verint,30
Day 11,Practice Time,Mock Calls,,Trainer to do at least 3 calls with different advisors,Mock Call Practice,120
Day 11,Assessment,Day 11 Online Test,,,Assessment,15
Day 11,Break,Break,,,Break,60
Day 12,Recap,Recap for Day 11 Topics,,,Recap,30
Day 12,Product & Process,Tata Play Black,,"Order Creation, Order Tracking, How to raise SR",PPT/Live Practice/SP,75
Day 12,Product & Process,Exceptional Scenario Handling,,How to handle exceptional scenarios not covered in standard process,PPT/Live Practice,60
Day 12,Product & Process,Infrequent Scenarios,,How to handle Infrequent Scenarios,PPT/Live Practice,120
Day 12,Practice Time,Call Listening,,2 Calls covering the top call drivers of the topic,Verint,30
Day 12,Practice Time,Mock Calls,,Trainer to do at least 3 calls with different advisors,Mock Call Practice,90
Day 12,Experiential Learning,Lab Visit,,Hands-on lab visit for practical exposure,,60
Day 12,Assessment,Day 12 Online Test,,,Assessment,15
Day 12,Break,Break,,,Break,60
Day 13,Recap,Recap for Day 12 Topics,,,Recap,30
Day 13,Practice Time,Top Call Drivers Practice,,Discuss - How to handle TCD with Soft Skills and Product/Process knowledge,"ILT, Role Plays, Activities",420
Day 13,Application,CISCO Soft Phone,,Introduction to Cisco Soft Phone,PPT/Live,30
Day 13,Break,Break,,,Break,60
Day 14,Assessment,OLMS Certification,Level 3 - OLMS Test,OLMS Certification Test - Passing percentage 85% - 2nd attempt failure results in removal from batch,Certification Test,60
Day 14,Assessment,Mock Call Certification,,2 Mock Calls per trainee - final assessment,Mock Call Assessment,420
Day 14,Break,Break,,,Break,60
EL Day 1,Soft Skills,Objection Handling,,"Common reasons for sales objections, The Psychology of No, Responding to common objections, Addressing common Objections, Turning Objections Into Opportunities, Objection Handling Dos and Donts, Common Objections and Smart Responses/Power Statements, Activity : Role Play",Activity/QBD/ILT/AV,60
EL Day 1,Soft Skills,Cross-Sell,,"What is Cross Sell, Common Cross-Selling Scenarios, How to Cross Sell, Best Practices for Cross-Selling",Activity/QBD/ILT/AV,30
EL Day 1,Floor Topics,DTH Channel Add and Remove,,"Add/Remove Ala-Carte Channel, Information On Tata Play Bundle/Package, Information On Broadcaster Bouquet, Information On VAS",,150
EL Day 2,Soft Skills,Managing Escalations,,"Reasons for Escalation, Statements That Signal Customer Escalation, Use The DEAL Method, How To De-escalate An Escalating Situation, When To Internally Highlight An Issue, Common Critical Issue Situations, Handling the Critical Issues, Statements to Be Used",Activity/QBD/ILT/AV,45
EL Day 2,Soft Skills,Effective Sales Pitching,,"Identifying Prepaid Customer Need for Postpaid Pitching, Role-play - Prepaid to Postpaid Cross-selling",Activity/QBD/ILT/AV,45
EL Day 2,Floor Topics,Unable to View Channels or OTT Content,,"B003 - Customer Account Inactive, B001 - No Signal, No Signal - Few Channels, TV Code 1 2 4 and 14, TV Code 6 - Account is suspended, Cable cut Damaged - LNBF Damaged/Broken",,150
EL Day 3,Soft Skills,Problem Solving,,"Identify a formula for solving problems, Develop creative strategies in problem solving, Activity",Activity/QBD/ILT/AV,30
EL Day 3,Soft Skills,Wi-Fi Pitch,Understanding the Opportunity,"Understanding the Opportunity - When to Pitch Wi-Fi, Pitch to Installation, Consultative Pitch Wi-Fi, Smart ways to introduce Wi-Fi, Customer-Focused Scripts for Effective Wi-Fi Pitch, Role-play",Activity/QBD/ILT/AV,60
EL Day 3,Floor Topics,STB Issues,,"STB In Hang Mode, Unable to Switch On STB / STB LED not glowing, STB Damage/Missing/Theft/Burnt, Red Green Orange LED glowing on STB",,150
EL Day 4,Soft Skills,Customer Retention - Preventing Churn,,"Customer Retention Churn Reasons, How to prevent customer churn, Identify at risk customers, How to respond, Understand to retain, Check troubleshooting, Pacifying the customer, USE THE LADDER, Know your customer, NEGOTIATION",Activity/QBD/ILT/AV,60
EL Day 4,Soft Skills,Bajaj Finserv Insta EMI Card,,"Tata Play Bajaj Finserv Insta EMI Card Offers, System Navigation, Role-play",Activity/QBD/ILT/AV,30
EL Day 4,Floor Topics,Relocation Process,,"Same Address, Different Address",,150
EL Day 4,Floor Topics,Safe Custody,,"Activate Safe Custody, Deactivate Safe Custody",,30
EL Day 5,Floor Topics,Remote Issues,,"Remote Not Working, Remote Lost or Damaged",,240
EL Day 5,Floor Topics,Internet TV Remote Pairing,,"Remote Paring Process, Unable to Pair Remote",,30
EL Day 5,Floor Topics,Cross-Sell Summary,,"Pre to Post, Wi-Fi Pitch, Bajaj Insta EMI",,30
EL Day 6,Floor Topics,STB Issues and Error B001,,"STB Issues, TV Code B001",,240
EL Day 6,Floor Topics,Cross-Sell Final Practice,,"Pre to Post, Wi-Fi Pitch, Bajaj Insta EMI",,30
